x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
-0.2693872239112812,-0.2697044961798009,-0.27061339596517026,-0.27198626889704786,-0.2736174508536586,-0.2752468088589353,-0.2766103090058087,-0.27520516868679423,-0.27329131211056473,-0.2717036494629448,-0.2709244039484878,-0.2717036494567717,-0.27329131211084545,-0.2752051686858258,-0.2766103089981235,-0.2752468088710098,-0.273617451010097,-0.2719862689009989,-0.2706133959615658,-0.26970449617316056,-0.2693872239024642,-0.2697044961822335,-0.27061339596503475,-0.2719862689003985,-0.27361745085999745,-0.2752468088848001,-0.27661030899603645,-0.27520516867931744,-0.27329131211278834,-0.2717036494570484,-0.27092440395529754,-0.27170364945610737,-0.2732913121109955,-0.2752051686833179,-0.2766103089984011,-0.275246808880451,-0.27361745087226735,-0.2719862689012057,-0.2706133959613298,-0.26970449617713177,-0.2693872239051136
-0.2639307092292963,-0.26398556899421793,-0.2641559836492169,-0.26445942563228025,-0.2649234250137839,-0.2655777433800764,-0.2664332230081834,-0.26744561225795427,-0.2684877400813586,-0.26938571018982177,-0.2698894818349252,-0.26938571017145796,-0.2684877400894558,-0.2674456122795073,-0.26643322300173317,-0.2655777433842042,-0.2649234249682819,-0.26445942563700237,-0.264155983645938,-0.26398556898716463,-0.2639307092246995,-0.26398556899524683,-0.26415598364998977,-0.2644594256343007,-0.26492342501787114,-0.2655777433896162,-0.26643322300243977,-0.2674456122542737,-0.26848774008077364,-0.26938571018933477,-0.269889481837838,-0.2693857101717785,-0.26848774008936005,-0.26744561226547003,-0.2664332230034577,-0.2655777433864339,-0.26492342488666276,-0.2644594256343366,-0.2641559836480498,-0.2639855689916269,-0.2639307092250923
-0.22803011653489588,-0.22827898129076166,-0.22902062772405618,-0.23086735855527943,-0.23367754350194078,-0.2368264896465075,-0.2400295378707958,-0.2430125917841624,-0.24552168948050457,-0.24726927188683095,-0.2479125382863324,-0.24726927188416023,-0.24552168948006886,-0.24301259177532863,-0.24002953786144085,-0.236826489660402,-0.23367754414899183,-0.23086735855950852,-0.22902062772230372,-0.22827898127993268,-0.22803011653236124,-0.2282789812907467,-0.22902062772465462,-0.2308673585587483,-0.23367754350543057,-0.23682648966357658,-0.24002953786050682,-0.2430125917752825,-0.24552168947696493,-0.2472692718922878,-0.24791253828968393,-0.24726927188602507,-0.24552168947994518,-0.24301259177698625,-0.24002953786103687,-0.2368264896667679,-0.23367754306189928,-0.23086735855617846,-0.22902062771853907,-0.22827898128704066,-0.2280301165350183
-0.22675552393766638,-0.22724097770981574,-0.22865370686421613,-0.2302408526347039,-0.23192804566679906,-0.23407568714426613,-0.236672795655611,-0.23960639989521254,-0.24250173134363476,-0.24471322622379174,-0.2455554622328901,-0.2447132262328379,-0.2425017313475061,-0.23960639993151647,-0.2366727956491312,-0.23407568714404733,-0.23192804539345532,-0.2302408526495291,-0.22865370685911637,-0.22724097770540505,-0.22675552392944404,-0.22724097771237017,-0.22865370686297223,-0.23024085263831554,-0.23192804567134856,-0.23407568715952667,-0.2366727956529788,-0.23960639989134988,-0.24250173134798547,-0.24471322625132994,-0.24555546222676275,-0.24471322623161731,-0.24250173134794673,-0.23960639989464103,-0.2366727956549675,-0.23407568715131252,-0.23192804558972963,-0.23024085263861088,-0.22865370686130015,-0.22724097771441013,-0.22675552392967155
-0.21688776542844299,-0.21725662283550662,-0.21834185510162327,-0.22007978526382926,-0.22236354274267292,-0.2251241553215392,-0.22840843352113818,-0.23128434691838645,-0.23347923465479536,-0.23485322604209113,-0.23532259900067612,-0.2348532260429066,-0.23347923465423834,-0.23128434692152489,-0.22840843351725768,-0.22512415532037022,-0.22236354279224266,-0.22007978526410227,-0.21834185509923137,-0.21725662283548833,-0.21688776542670007,-0.2172566228350536,-0.21834185510222914,-0.22007978526386446,-0.22236354274348444,-0.22512415532136004,-0.22840843351948817,-0.23128434691927804,-0.23347923465346812,-0.2348532260418404,-0.235322599000728,-0.23485322604314574,-0.233479234653978,-0.2312843469184663,-0.22840843351851678,-0.2251241553225069,-0.2223635427385621,-0.22007978526239155,-0.2183418551029001,-0.21725662283798916,-0.21688776542618673
-0.2146294235655345,-0.21512694521260797,-0.21658158124028828,-0.21887862929012455,-0.221821941350199,-0.22503745602133585,-0.22788779772650086,-0.23063294055074296,-0.23293890045740967,-0.23447813537548437,-0.23501826062162087,-0.2344781353746102,-0.23293890045690374,-0.2306329405518369,-0.22788779772332685,-0.2250374560225296,-0.22182194127332627,-0.2188786292955271,-0.21658158123747934,-0.21512694520640313,-0.2146294235634233,-0.21512694521259623,-0.21658158124064922,-0.21887862929165958,-0.2218219413534034,-0.2250374560239837,-0.2278877977243727,-0.230632940551507,-0.23293890045750326,-0.23447813537361478,-0.2350182606229094,-0.23447813537526266,-0.23293890045657917,-0.23063294054920883,-0.2278877977230974,-0.22503745602590652,-0.22182194134025043,-0.21887862929195523,-0.21658158123754886,-0.21512694521226586,-0.21462942356316475
-0.04226028419577811,-0.04172601212138935,-0.04014087970335663,-0.03755552337277192,-0.03404748578625559,-0.029714280485195213,-0.024668063465754776,-0.019032858897668477,-0.012949376373543084,-0.006558825196104093,-1.5498074075551838e-5,-0.006558825198188269,-0.012949376375469055,-0.01903285889823426,-0.024668063460622613,-0.02971428048712452,-0.0340474857863701,-0.03755552337461972,-0.04014087970137053,-0.041726012123070894,-0.042260284194575365,-0.041726012121174584,-0.04014087969954215,-0.037555523373309745,-0.03404748578764404,-0.029714280486015245,-0.024668063458100034,-0.019032858896174697,-0.012949376373716116,-0.006558825196168071,-1.5498075488395055e-5,-0.006558825198197815,-0.012949376375487508,-0.01903285889814051,-0.024668063460558002,-0.029714280488296215,-0.03404748578841686,-0.03755552337328923,-0.04014087970286,-0.04172601211806408,-0.04226028419458134
-0.042191507146968794,-0.04165859943689747,-0.040077672000336316,-0.037499557399585354,-0.03400175843915936,-0.02968122452058597,-0.024648934502104404,-0.019027267505629972,-0.012943615747085871,-0.006545518255013149,-4.548627228245567e-7,-0.006545518257024665,-0.012943615748599044,-0.01902726750626331,-0.024648934496777974,-0.029681224522981563,-0.03400175844035966,-0.037499557401281566,-0.040077671998588534,-0.0416585994398095,-0.0421915071458809,-0.04165859943663887,-0.04007767199704174,-0.037499557400284024,-0.03400175844070116,-0.029681224521377992,-0.024648934494032233,-0.01902726750400386,-0.012943615746785363,-0.006545518255309594,-4.5486422376561784e-7,-0.006545518257086135,-0.01294361574859149,-0.019027267506201567,-0.024648934497024093,-0.02968122452329929,-0.034001758439655784,-0.03749955740042903,-0.04007767199973691,-0.04165859943344354,-0.04219150714607591
0.04219150714301875,0.04165859943381281,0.040077671993309714,0.03749955739719165,0.0340017584388076,0.029681224519676853,0.024648934493363167,0.01902726750125413,0.012943615746278787,0.006545518245558765,4.5486081279918355e-7,0.006545518252087364,0.012943615746319366,0.01902726750116169,0.024648934493169884,0.029681224519892673,0.0340017584391766,0.03749955739723888,0.04007767199697363,0.04165859943453533,0.042191507144447894,0.04165859943391222,0.04007767199694879,0.0374995573970923,0.034001758437845205,0.029681224518674196,0.024648934490058488,0.01902726750182445,0.012943615746585755,0.006545518245584725,4.5485938449333234e-7,0.006545518252137527,0.012943615746291964,0.019027267503524202,0.02464893449225325,0.029681224518565804,0.03400175843820869,0.03749955739878331,0.040077671994765064,0.0416585994362505,0.0421915071458423
0.04226028419161787,0.04172601211824241,0.04014087969596014,0.037555523370342854,0.03404748578584318,0.02971428048408051,0.024668063456761133,0.01903285889325887,0.012949376373436272,0.006558825186646342,1.5498072499278173e-5,0.0065588251932934116,0.01294937637325555,0.019032858893415616,0.024668063456925512,0.02971428048434972,0.03404748579084173,0.03755552337039565,0.04014087969997445,0.04172601212001676,0.04226028419326665,0.041726012118575566,0.040140879698917595,0.03755552337005029,0.034047485784683404,0.029714280483052323,0.024668063453511226,0.019032858893911302,0.012949376373425444,0.006558825186551605,1.5498071147177674e-5,0.006558825193276254,0.01294937637321247,0.01903285889562261,0.024668063456382016,0.02971428048317292,0.03404748578492013,0.037555523371910114,0.040140879697782295,0.041726012120298916,0.0422602841942893
0.21462942356316178,0.21512694521258602,0.21658158123535443,0.21887862929231267,0.22182194135177316,0.22503745602356698,0.22788779772453907,0.23063294055112113,0.23293890045663274,0.23447813537411347,0.23501826061825995,0.2344781353739186,0.23293890045635085,0.23063294054891534,0.2278877977232503,0.2250374560243711,0.22182194136129116,0.21887862929128443,0.2165815812372419,0.21512694521194697,0.21462942356340714,0.21512694521128745,0.2165815812368932,0.21887862929190363,0.2218219413502497,0.22503745602429712,0.22788779772555842,0.2306329405501843,0.2329389004551516,0.2344781353752288,0.23501826061818273,0.2344781353744061,0.23293890045668253,0.230632940552337,0.22788779772279819,0.22503745602299044,0.22182194141965497,0.21887862929272878,0.21658158123548288,0.21512694521298778,0.21462942356493994
0.21688776542685123,0.21725662283571737,0.2183418551015279,0.22007978526476948,0.22236354274271358,0.2251241553202406,0.22840843351890694,0.23128434691899283,0.23347923465399106,0.23485322604311012,0.23532259899892208,0.23485322604177417,0.2334792346545666,0.23128434691736127,0.2284084335175246,0.22512415532086935,0.22236354265328503,0.22007978526181507,0.2183418551003609,0.2172566228360982,0.2168877654277492,0.21725662283496805,0.21834185510028362,0.22007978526428634,0.2223635427413965,0.22512415532106736,0.22840843352053725,0.23128434691851613,0.23347923465280626,0.2348532260424907,0.23532259899942448,0.23485322604265194,0.23347923465465786,0.23128434691958877,0.22840843351693899,0.22512415531989474,0.2223635428065766,0.22007978526261876,0.21834185510160792,0.21725662283589697,0.21688776542726199
0.22675552393060197,0.22724097770952542,0.22865370685810887,0.23024085263821112,0.2319280456688974,0.23407568715011637,0.23667279564727292,0.23960639988945523,0.24250173133021635,0.24471322622526198,0.2455554622279462,0.24471322622822786,0.24250173134408268,0.2396063998877114,0.23667279565137117,0.23407568714531796,0.23192804571765252,0.23024085263605829,0.22865370685589032,0.22724097771737264,0.22675552393432857,0.2272409777094906,0.22865370685748798,0.23024085263763902,0.23192804566500355,0.2340756871467181,0.23667279565314894,0.23960639989626878,0.24250173133541794,0.24471322625351696,0.24555546222312696,0.244713226230001,0.2425017313440949,0.239606399900831,0.23667279564979865,0.23407568714325097,0.23192804588604007,0.23024085264127708,0.22865370685929265,0.2272409777047517,0.22675552393432724
0.2280301165332248,0.22827898129153487,0.22902062771725357,0.23086735856041535,0.23367754350403735,0.23682648966296896,0.2400295378600229,0.24301259177744547,0.24552168946525316,0.24726927187524678,0.24791253827969942,0.2472692718824465,0.24552168947414854,0.24301259177476672,0.2400295378619126,0.23682648966416972,0.2336775434847771,0.23086735854775126,0.22902062772057877,0.22827898129163152,0.2280301165347659,0.2282789812885695,0.22902062772041,0.23086735855870574,0.23367754350155664,0.2368264896585315,0.24002953786413486,0.24301259177734752,0.2455216894686135,0.24726927189169512,0.2479125382846978,0.2472692718785873,0.24552168947435354,0.24301259179007592,0.24002953786237113,0.23682648965887668,0.23367754310811847,0.23086735855707347,0.22902062771757836,0.22827898128945992,0.22803011653536637
0.2639307092232097,0.263985568995617,0.2641559836428607,0.26445942563686264,0.26492342501799193,0.26557774338268364,0.26643322299810335,0.26744561225764796,0.26848774007845044,0.26938571016651525,0.26988948183783285,0.2693857101618015,0.2684877400843917,0.2674456122490254,0.2664332230004291,0.2655777433857885,0.2649234250318234,0.26445942563027186,0.2641559836408177,0.26398556899717945,0.2639307092287769,0.26398556899259595,0.2641559836434994,0.2644594256348563,0.2649234250129374,0.2655777433917209,0.26643322300135536,0.2674456122621627,0.2684877400805352,0.2693857102337047,0.26988948182986383,0.26938571016561086,0.268487740083827,0.2674456122555601,0.26643322300010824,0.2655777433774981,0.2649234250794344,0.2644594256305681,0.26415598364555953,0.2639855689956899,0.263930709228638
0.26938722390502345,0.26970449617939196,0.2706133959589402,0.2719862689006446,0.2736174508578739,0.27524680888476294,0.27661030899454775,0.2752051686829913,0.2732913121086962,0.2717036494487606,0.2709244039412637,0.27170364945250797,0.2732913121039918,0.27520516866513356,0.27661030899641803,0.27524680887588,0.2736174508333258,0.27198626889896904,0.27061339595739037,0.26970449618345865,0.2693872239080528,0.2697044961773773,0.27061339595830763,0.2719862688988126,0.27361745085556477,0.2752468088716219,0.2766103089986011,0.27520516868205236,0.27329131210805735,0.2717036494507609,0.2709244039463848,0.2717036494533093,0.2732913121044252,0.2752051687047363,0.276610308997229,0.2752468088700936,0.2736174508945436,0.27198626890017635,0.2706133959592869,0.2697044961771938,0.26938722390695924
