x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
-0.16090579519672563,-0.1608444228191826,-0.16065526570965816,-0.16032293963276306,-0.15982230853598864,-0.15912171054115862,-0.15818784457213225,-0.15698963256061343,-0.15549983384257657,-0.15369550986443584,-0.15155874499545838,-0.14907778865114438,-0.14624774224459416,-0.143070180263502,-0.13955187438582112,-0.1357033649256948,-0.13153794338704766
-0.16090579375096506,-0.1608444210282658,-0.16065526378760425,-0.1603229386791104,-0.15982230781098367,-0.1591217090719135,-0.15818784357150276,-0.1569896306317509,-0.1554998305164261,-0.15369550710072855,-0.1515587449711496,-0.14907778538363675,-0.14624773647399886,-0.1430701737376822,-0.1395518689993008,-0.13570336229465074,-0.13153794204348826
-0.14837415376053661,-0.14832874967568113,-0.14817678719940966,-0.14787666109888506,-0.14737319178781588,-0.14660915358351514,-0.14553356952381008,-0.14410686292330097,-0.14230272680046993,-0.14010705879419072,-0.13751530556357075,-0.13452985657617586,-0.13115831683301432,-0.12741257670396366,-0.1233081511080842,-0.11886343751829102,-0.11409887752570981
-0.14837415199235363,-0.1483287495626628,-0.14817678446214466,-0.14787666014134823,-0.14737318888043707,-0.14660914975691416,-0.145533568962774,-0.14410685864905726,-0.14230272008659792,-0.1401070533672641,-0.13751530404173665,-0.13452985305671006,-0.13115830842013218,-0.12741256411311572,-0.12330813464019873,-0.11886341720118708,-0.1140988533310105
-0.1397503816154787,-0.13970649728348755,-0.13953603960668035,-0.1391465492834337,-0.13843985490833707,-0.13734403668137582,-0.1358188020596615,-0.1338476956895585,-0.13142941199485378,-0.12857204035458958,-0.1252895813880556,-0.12159968753005837,-0.11752215534627153,-0.11307803856511073,-0.10828924573140823,-0.10317840591338906,-0.09776880413926065
-0.13975036470201715,-0.1397064900110495,-0.13953603532293965,-0.1391465477517862,-0.13843984907429605,-0.13734403016104035,-0.13581880138437713,-0.13384768947827058,-0.13142940156356397,-0.12857202858033343,-0.12528956923335985,-0.12159967449573902,-0.11752214057089046,-0.11307802186324938,-0.10828922785314887,-0.10317838841678446,-0.09776878883973454
-0.1342357855813139,-0.13416054972193936,-0.13384300113742195,-0.1331244667051669,-0.13191102366134982,-0.1301769129786495,-0.12793108362052835,-0.12519575746146802,-0.12199685576539826,-0.1183604658657758,-0.11431196854810818,-0.10987613549773856,-0.10507740990671267,-0.09994010506829216,-0.09448851241852453,-0.08874696395739122,-0.0827398845152776
-0.1342357464892582,-0.1341605369585284,-0.13384299078114317,-0.1331244644863811,-0.1319110146551087,-0.13017690246296704,-0.12793107623622094,-0.12519575165441132,-0.12199684835070378,-0.1183604556941048,-0.11431195669438182,-0.10987612444014665,-0.10507740195835107,-0.09994010169593562,-0.09448851106519675,-0.08874695869320968,-0.08273987674161576
-0.1309920712294452,-0.13080924214850675,-0.13011285366540484,-0.12877893178186084,-0.12682359875453897,-0.12429950559909653,-0.121256974559465,-0.11773862092215523,-0.11378068084845969,-0.10941482884236889,-0.10466959227905326,-0.0995713971644001,-0.09414539442866149,-0.08841605505850157,-0.08240759323714907,-0.07614424200765868,-0.06965042615835519
-0.13099202653902567,-0.13080923692306967,-0.13011283928989126,-0.12877892782597541,-0.1268235980591583,-0.12429949974030292,-0.12125696424008875,-0.11773861110288267,-0.11378067555274687,-0.10941482829057708,-0.10466958706802494,-0.09957138951188078,-0.09414538669149035,-0.08841604894130993,-0.0824075897499912,-0.07614424138826754,-0.0696504242216769
-0.12926769535500615,-0.12885107383593167,-0.12756338745497872,-0.12551372622478926,-0.12282987550607478,-0.11959900360757417,-0.11588181927335095,-0.11172372598232913,-0.10716110864365498,-0.10222492012503973,-0.09694282910110592,-0.09134054066601785,-0.08544264123572384,-0.07927316358934544,-0.07285596694464595,-0.06621500048487677,-0.05937448399155993
-0.12926767195941835,-0.12885107334743454,-0.12756338287149585,-0.12551371357564048,-0.12282986783440057,-0.11959900217558152,-0.11588181195477465,-0.11172371763379667,-0.10716110267130136,-0.10222491790396807,-0.09694282782855673,-0.09134053692350928,-0.08544263634385789,-0.07927315855298739,-0.07285596261623195,-0.06621499731895394,-0.059374482151472514
-0.12848031383476777,-0.12775754471433826,-0.12593297831463598,-0.12334833032915626,-0.12016231207743126,-0.11646311347339794,-0.11230872964373377,-0.10774196784609569,-0.10279720758677259,-0.09750389018254287,-0.091888522287811,-0.08597591097904822,-0.07978995765192509,-0.07335418639581108,-0.0666920937898323,-0.05982737767134478,-0.05278408164133503
-0.12848030754799541,-0.12775753649475463,-0.1259329771688356,-0.12334832543468388,-0.1201623095910965,-0.11646311243920042,-0.11230872650090665,-0.10774196434655614,-0.102797204832336,-0.09750388873932236,-0.09188852205088995,-0.08597591018522024,-0.07978995623433999,-0.07335418465445645,-0.06669209201842663,-0.05982737606453611,-0.05278408031276011
