tag	karray	ϵs	psi
1	-0.026	-10.509820465087474	1
1	-0.025	-10.272911945254577	1
1	-0.024	-10.036240590596037	1
1	-0.023	-9.803513463129006	1
1	-0.022	-9.576855117222552	1
1	-0.021	-9.360121521019792	1
1	-0.02	-9.1707364437836	1
1	-0.019	-9.088870654218544	1
1	-0.018	-9.098148856172733	1
1	-0.017	-9.123473372338305	1
1	-0.016	-9.150184898315985	1
1	-0.015	-9.17336560961345	1
1	-0.014	-9.185950062165167	1
1	-0.013	-9.166982262603991	1
1	-0.012	-9.087140801988609	1
1	-0.011	-8.971861521927437	1
1	-0.01	-8.852234911468631	1
1	-0.009	-8.738283158177968	1
1	-0.008	-8.63331399605131	1
1	-0.007	-8.538813665238207	1
1	-0.006	-8.455647701086484	1
1	-0.005	-8.3844037248484	1
1	-0.004	-8.325527025313626	1
1	-0.003	-8.279367438016425	1
1	-0.002	-8.246194002954022	1
1	-0.001	-8.226207290340888	1
1	0.0	-8.219530817364802	1
1	0.001	-8.226207376941556	1
1	0.002	-8.246194114763183	1
1	0.003	-8.279367508019785	1
1	0.004	-8.325527024485883	1
1	0.005	-8.384403676907786	1
1	0.006	-8.45564756525003	1
1	0.007	-8.538813996863	1
1	0.008	-8.63331392352223	1
1	0.009	-8.738283049100032	1
1	0.01	-8.852234768020656	1
1	0.011	-8.971861393336509	1
1	0.012	-9.087140505446174	1
1	0.013	-9.16698211101672	1
1	0.014	-9.185948900938437	1
1	0.015	-9.17336587853908	1
1	0.016	-9.150184870046282	1
1	0.017	-9.123473312892106	1
1	0.018	-9.09814873594817	1
1	0.019	-9.088870682031951	1
1	0.02	-9.170736581124999	1
1	0.021	-9.360121478398506	1
1	0.022	-9.576855026540773	1
1	0.023	-9.803514105161916	1
1	0.024	-10.036240495306773	1
1	0.025	-10.272918268668203	1
1	0.026	-10.509823577824351	1
1	0.027	-10.72457544896763	1
1	0.028	-10.792770889154527	1
1	0.029	-10.774783768895237	1
1	0.03	-10.763626896701236	1
1	0.031	-10.827939637649107	1
1	0.032	-11.022268406694618	1
1	0.033	-11.26413456557262	1
1	0.034	-11.518966727236078	1
1	0.035	-11.779479410204326	1
1	0.036	-12.043352341177135	1
1	0.037	-12.309280499274298	1
1	0.038	-12.575065735648183	1
1	0.039	-12.816333282131236	1
1	0.04	-12.854860385387193	1
1	0.041	-12.85031159475999	1
1	0.042	-12.886553427885508	1
1	0.043	-13.026809408186532	1
1	0.044	-13.247761082427491	1
1	0.045	-13.495756726414378	1
1	0.046	-13.753569691235953	1
1	0.047	-14.016200492095633	1
1	0.048	-14.281801623864366	1
1	0.049	-14.549515551495103	1
1	0.05	-14.818833871469232	1
1	0.051	-15.089221196838272	1
1	0.052	-15.357816310250273	1
1	0.053	-15.476804065740641	1
1	0.054	-15.49184628834547	1
1	0.055	-15.518882504391508	1
1	0.056	-15.577007324714959	1
1	0.057	-15.699807167020703	1
1	0.058	-15.894491176910645	1
1	0.059	-16.127067873975882	1
1	0.06	-16.375591101814887	1
1	0.061	-16.631771034496623	1
1	0.062	-16.892383438456832	1
1	0.063	-17.155996645895048	1
1	0.064	-17.421884155323838	1
1	0.065	-17.689645840273542	1
1	0.066	-17.95903815793979	1
1	0.067	-18.229900904728673	1
1	0.068	-18.502117636263947	1
1	0.069	-18.77556704374795	1
1	0.07	-19.049821869901553	1
1	0.071	-19.238827628743977	1
1	0.072	-19.317952499920377	1
1	0.073	-19.40240892324679	1
1	0.074	-19.493892881012613	1
1	0.075	-19.594126151486606	1
1	0.076	-19.705981683539996	1
1	0.077	-19.83462667300463	1
1	0.078	-19.98843517854711	1
1	0.079	-20.175933121900552	1
1	0.08	-20.39640206757109	1
1	0.081	-20.63970792492252	1
1	0.082	-20.896696468464274	1
1	0.083	-21.16193587150814	1
1	0.084	-21.43255886585838	1
1	0.085	-21.70703899584851	1
1	0.086	-21.98451830271587	1
1	0.087	-22.264487308984478	1
1	0.088	-22.546627836904673	1
1	0.089	-22.830733486970775	1
1	0.09	-23.11666498865556	1
1	0.091	-23.404322612985975	1
1	0.092	-23.693635482882755	1
1	0.093	-23.984550293194992	1
1	0.094	-24.277026674320563	1
1	0.095	-24.57103483535092	1
1	0.096	-24.866549047194734	1
1	0.097	-25.163551125394136	1
1	0.098	-25.4620236694233	1
1	0.099	-25.761953371997162	1
1	0.1	-26.063327885861682	1
1	0.101	-26.366139390707115	1
1	0.102	-26.670377384782054	1
1	0.103	-26.976036376448157	1
1	0.104	-27.283107172259303	1
1	0.105	-27.591586535297363	1
1	0.106	-27.901465273874983	1
1	0.107	-28.212739224279428	1
1	0.108	-28.52540240131783	1
1	0.109	-28.83944858631063	1
1	0.11	-29.154869547525255	1
1	0.111	-29.471655997143753	1
1	0.112	-29.78978142941922	1
1	0.113	-30.109154283627152	1
1	0.114	-30.428062041071385	1
1	0.115	-30.73071774704989	1
1	0.116	-31.03428336463815	1
1	0.117	-31.342571387944822	1
1	0.118	-31.65566400272919	1
1	0.119	-31.97353763355976	1
1	0.12	-32.296149170681836	1
1	0.121	-32.62345275084594	1
1	0.122	-32.955398331237355	1
1	0.123	-33.29193559355614	1
1	0.124	-33.63301337588975	1
1	0.125	-33.97857690037774	1
1	0.126	-34.328568985334044	1
1	0.127	-34.68292138930836	1
1	0.128	-35.04150335668258	1
1	0.129	-35.402117172269406	1
1	0.13	-35.74684820416494	1
1	0.131	-36.09041984487265	1
1	0.132	-36.43515687097214	1
1	0.133	-36.78113789580531	1
1	0.134	-37.128372122756694	1
1	0.135	-37.47686012388955	1
1	0.136	-37.82659946541623	1
1	0.137	-38.17758627338217	1
1	0.138	-38.52981507982004	1
1	0.139	-38.88328185571624	1
1	0.14	-39.23798154230064	1
1	0.141	-39.593909657140465	1
1	0.142	-39.951062306228344	1
1	0.143	-40.30943454064833	1
1	0.144	-40.66902342294791	1
1	0.145	-41.029824747589906	1
1	0.146	-41.39183693339494	1
1	0.147	-41.75505680501482	1
1	0.148	-42.11948523308512	1
1	0.149	-42.48512133289263	1
1	0.15	-42.8519666650193	1
1	-0.15	-42.85006620454243	2
1	-0.149	-42.48321868752756	2
1	-0.148	-42.11758069223675	2
