x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
-0.3234291035945398,-0.24322122115535758,-0.25514605160572174,-0.2607807121075949,-0.21948110122849038,-0.1925732211242479,-0.2077980958935125,-0.20017348336115648,-0.18481005724861357,-0.207672293767725,-0.2117936572840732,-0.18084740438082894,-0.16151275651304392,-0.13811960290411968,-0.14427216002477733,-0.17371545314800688,-0.1534825434772545,-0.16267032141912943,-0.13246748650581122,-0.1402078579446122,-0.1623044956164189,-0.18152300273857694,-0.18250921324332783,-0.2097343160195788,-0.20586194150171638,-0.19356588258520344,-0.19145305755460715,-0.18909370079749246,-0.1781434838704968,-0.1686873216093004,-0.1658127686178141,-0.16248197196934303,-0.13837936537249015,-0.13934758313017434,-0.12218298822079766,-0.13027075873464394,-0.10749832148203141,-0.10103089188093546,-0.11342889769786647,-0.11854219873078464,-0.14063885030748555,-0.1274057037604901,-0.1101100990609941,-0.09802329277697179,-0.0994620775139748,-0.055462710783797234,-0.12266098071305176,-0.10148033377029184,-0.09140389127012948,-0.09905040457945744,-0.08480876084712059
-0.32331420555398727,-0.24245662408706262,-0.25296517559357873,-0.2588824632086678,-0.21947450346177685,-0.19153485885994104,-0.20567777972258805,-0.19680549924377438,-0.18294654522043116,-0.20359752379588267,-0.20555046708386202,-0.17949707825642594,-0.15465747975738578,-0.1373063003902671,-0.14249981677264204,-0.168977059929712,-0.15137882997406268,-0.1558845310366742,-0.13139502870051017,-0.13815422652781076,-0.15948101542443485,-0.18152103243618137,-0.1758405210798005,-0.20412531328605862,-0.20475941083248245,-0.19284101441358611,-0.18573746148498477,-0.1882174871025707,-0.17759350740325971,-0.1674689594038408,-0.15803379865631711,-0.16192635493810187,-0.136619649392607,-0.13837124425153097,-0.11849931517319409,-0.11825160180386032,-0.10197189779205659,-0.09868501154752186,-0.11138807606477076,-0.11528592032929218,-0.13201665756388628,-0.12547744205322503,-0.1044352825403075,-0.09192744861051308,-0.0900877701963771,-0.05060567811654845,-0.11947231842551356,-0.09830763401169659,-0.09007462613425524,-0.09390096614535746,-0.0818909756455976
-0.2806701094614285,-0.24165446665095408,-0.22799087948772068,-0.21652424609297644,-0.20488403336665365,-0.17014282799066974,-0.1920284422850035,-0.17127324238039132,-0.15408242295799132,-0.1946681074250566,-0.185709541516362,-0.172066480555873,-0.14236472354886268,-0.11012406140470382,-0.12621694181574594,-0.1427957220678866,-0.14071393196598933,-0.1448092308559041,-0.11103073073214499,-0.10547240763781753,-0.15838582462195333,-0.1770342679285161,-0.09240871205794624,-0.17911573709161804,-0.20039738373396285,-0.10770709821968814,-0.1303066679965349,-0.17847579702457073,-0.14843363679762955,-0.1073490644600865,-0.1567980728843173,-0.12549561076431132,-0.107835188072772,-0.1312441186966982,-0.11654819477579549,-0.08157946889679997,-0.07458838858438714,-0.08567086902414904,-0.0946483926714045,-0.1120946508765322,-0.12931287926954754,-0.1144123676368779,-0.07341614257916182,-0.06407866965011093,-0.0741054855717897,-0.04564718599843515,-0.08831721440813782,-0.09718139213935313,-0.07702231162490179,-0.07377785063801642,-0.06874567335727651
-0.278653339836091,-0.23838593270767094,-0.22725762908994906,-0.21591760701451643,-0.20348191007374508,-0.17010594657630573,-0.1902404719339129,-0.17028870524301376,-0.15401389492459724,-0.19230211638766045,-0.18107235922373796,-0.17184767792065772,-0.14043772119816086,-0.10864510444170679,-0.12618651074490736,-0.14083861446743098,-0.13706402736575526,-0.14386273231979854,-0.11086742911734608,-0.10541142357599459,-0.15043560648054569,-0.171488490784802,-0.09240090717834261,-0.17904268922522532,-0.198139295183994,-0.1076847094436279,-0.13030448726774466,-0.17349201353243093,-0.14823072265937526,-0.10702089136457704,-0.15349135048965207,-0.12484753334191366,-0.10763804805630137,-0.13084344029940664,-0.11503389358924415,-0.07798781533367308,-0.07329817192861589,-0.08412403780109119,-0.09293739628394763,-0.11126594881106175,-0.12165608922583691,-0.1114156365573239,-0.07333922305062444,-0.06277490703391474,-0.06920035884600588,-0.0444222941047697,-0.07784365421261077,-0.09617469443677193,-0.07296961004143904,-0.0704797418366653,-0.06757801532037216
-0.268014216590485,-0.20932102765545874,-0.2075147517456696,-0.2076932101745139,-0.19122196263895277,-0.05552727421163375,-0.18360009772691163,-0.16802364653768373,-0.03927335164257604,-0.1716176079763039,-0.1667379372576873,-0.06420971426414013,-0.12937805031612534,-0.08317760363268119,-0.06249587614335991,-0.13620671406067708,-0.09318567316404551,-0.10074947415917787,-0.028181060170101732,-0.04241006229341174,-0.08342115795852639,-0.045936539613960346,-0.0408805708261684,-0.09472454980868454,-0.11392982330582908,-0.051417095361357225,-0.07469258424545983,-0.10242877925268577,-0.09069568217886526,-0.07508666388749802,-0.08462211305555346,-0.09127115405908827,-0.09374294091968478,-0.03222111735041916,-0.10328406631645846,-0.035262144222927186,-0.04291688960411824,-0.07133570074360496,-0.08183925794078764,-0.08886981165671884,-0.09493452447440008,-0.05984663819139159,-0.04425044462350478,-0.04615277084638821,-0.04445065212231282,-0.03179021176059647,-0.07338954498874187,-0.066360827282511,-0.06361195241983159,-0.048237649855509386,-0.05387430304739291
-0.2659839680816155,-0.20778749344643246,-0.2060532325695238,-0.20640898484624298,-0.1899112791822528,-0.05543918757204237,-0.1815731242225353,-0.1663585659273495,-0.03923747553866859,-0.17038713087094925,-0.16464662722832593,-0.06419948798247822,-0.12830676537445948,-0.08243794654184976,-0.0624400860786786,-0.13587745011271735,-0.09310404125417707,-0.10057761234746448,-0.028029922768626914,-0.04235474145687313,-0.08338871588636648,-0.045932359507234746,-0.04085625283025753,-0.09467735820332181,-0.1138839865245523,-0.05141269271116758,-0.07469134533973455,-0.10217307418451953,-0.0906873371262045,-0.07502771596929451,-0.0841586980483555,-0.09095049436838289,-0.09348764686905177,-0.032188682005758536,-0.10282468936628128,-0.029458809438657325,-0.04224143611566309,-0.06431487844748533,-0.08151101221731712,-0.08798761608401327,-0.09407254035006386,-0.05963492798177659,-0.042290107874594814,-0.04503671286084788,-0.042229705898612774,-0.030621923314100057,-0.06233321524632525,-0.06518091889298543,-0.05930599397748855,-0.042751637995566076,-0.05192568404252003
-0.00041051154433183944,-0.000630653367151982,-0.001522250720854381,-0.0017582142928549349,-0.0017608527082502046,-7.758449292625006e-5,-0.0006213782941530982,-0.0008515253134992434,-0.0003797514005287545,-0.0006579346888500312,-0.00015186002121456984,-0.00025869278850224904,-0.0002669386222230099,-6.098738314387494e-5,-0.0003360243885870658,-0.0007217895905109684,-4.413835341944906e-5,-0.00021634931777974798,-9.740278792754866e-5,-0.00014668741086378744,-5.5425092654265105e-5,-3.126037737061837e-5,-5.4067042434226396e-5,-1.84517223375887e-5,-2.2227293398911885e-5,-4.677907013415679e-5,-2.039791046885104e-5,-1.8772625294747468e-5,-6.424692474582308e-5,-6.455336153201769e-5,-0.0002595001480611923,-0.00047883957870208934,-6.370079130278505e-5,-6.15442674476105e-5,-6.693728441769831e-5,-0.0063598593458982725,-0.004909097720991189,-0.0002542309698782348,-0.00042344454407377435,-0.0005853570411523047,-0.00014086818031519333,-0.0003445583348172531,-0.0008562912436160211,-0.0012227656177677213,-0.004192214371703965,-0.0006006064699149524,-0.02018461648535197,-0.0026753799223657787,-0.001194456105401833,-0.007476690916764704,-0.0008458258744905189
-0.0003503644779802843,-0.000569680855876959,-0.0014305488892372594,-0.0016626628300756476,-0.0017334380418764436,-5.1505393193150784e-5,-0.0005219484518377474,-0.0007084581974040331,-0.00021864624334157854,-0.0004956099012126971,-7.106403541180361e-5,-0.0001238722276852284,-0.00016977822474660995,-3.040525164539607e-5,-5.9649309774443595e-5,-0.0003795298225315727,-4.1120252013067234e-5,-8.684697821629258e-5,-8.590760231524874e-6,-5.1057061534243964e-5,-2.023947674354289e-5,-1.4392673317180782e-5,-3.929422613914012e-5,-3.565922570044546e-6,-1.8300332534934062e-5,-3.301730675556743e-5,-8.823657098897372e-6,-2.594420555747242e-6,-7.211019359962536e-6,-3.554576767485573e-5,-4.673883721102026e-6,-0.000271126175210818,-3.852676102023709e-5,-2.3871288200940945e-5,-6.008380873721612e-5,-0.0036379462314053705,-0.00310550868246112,-0.0001547644348890483,-9.01641980301366e-5,-0.00032053913635366745,-0.00010538301629094356,-0.00032773025492165234,-0.0006484659795835368,-0.0006367926715923043,-0.0033719146557811977,-0.00042097653715807745,-0.01945078913931784,-0.0017970082248813008,-0.0002686258420948075,-0.0016393321801562797,-0.0003116599560568285
0.00035036447718175514,0.0005696808558769134,0.0014305488892372438,0.0016626628300756194,0.0017334380418764688,5.15053931931678e-5,0.0005219484518377758,0.0007084581974040697,0.00021864624334155157,0.00049560990121273,7.106403541175032e-5,0.00012387222768524476,0.00016977822474659532,3.0405251645407062e-5,5.964930977444457e-5,0.0003795298225315734,4.112025201307099e-5,8.684697821628121e-5,8.590760231471986e-6,5.1057061534292374e-5,2.0239476743564067e-5,1.4392673317181333e-5,3.929422613910596e-5,3.5659225700616678e-6,1.830033253492368e-5,3.301730675556615e-5,8.82365709891092e-6,2.5944205557163034e-6,7.211019359993324e-6,3.5545767674857886e-5,4.6738837211057165e-6,0.000271126175210834,3.85267610202228e-5,2.3871288200917838e-5,6.00838087372222e-5,0.0036379462314053766,0.00310550868246111,0.0001547644348890449,9.016419803013447e-5,0.0003205391363536803,0.0001053830162909406,0.00032773025492169853,0.000648465979583508,0.0006367926715922927,0.0033719146557811787,0.00042097653715807094,0.01945078913931781,0.001797008224881313,0.00026862584209477844,0.0016393321801562901,0.00031165995605682485
0.00041051154370890945,0.0006306533671519145,0.0015222507208543282,0.0017582142928549232,0.0017608527082502157,7.758449292626709e-5,0.0006213782941531588,0.0008515253134992694,0.00037975140052871816,0.0006579346888500303,0.00015186002121458413,0.00025869278850228515,0.000266938622222992,6.0987383143846386e-5,0.00033602438858699795,0.0007217895905109936,4.413835341940904e-5,0.00021634931777979275,9.740278792758898e-5,0.0001466874108638026,5.542509265424135e-5,3.126037737060788e-5,5.406704243425371e-5,1.8451722337640298e-5,2.222729339891318e-5,4.6779070134133954e-5,2.039791046887932e-5,1.8772625294733255e-5,6.424692474582097e-5,6.455336153208402e-5,0.0002595001480611864,0.00047883957870209634,6.370079130272616e-5,6.154426744758885e-5,6.693728441771613e-5,0.006359859345898278,0.0049090977209911724,0.00025423096987824747,0.0004234445440737336,0.0005853570411523156,0.00014086818031519566,0.00034455833481727765,0.00085629124361606,0.0012227656177677278,0.004192214371703943,0.0006006064699149534,0.020184616485351956,0.0026753799223657626,0.0011944561054018413,0.007476690916764678,0.0008458258744904597
