x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
-0.05752072239574655,-0.05727976099223078,-0.05529993482276282,-0.055333297796512866,-0.05696472170915319,-0.057939819356514405,-0.053619215735796366,-0.05181459369134568,-0.049531202318519124,-0.047450855768074146,-0.043164896077663294,-0.032493104029088435,-0.013503835167005766,-0.08156647133631097,-0.17150552522371906,-0.2182816009367845,-0.24465014150247955,-0.26790416442870335,-0.2924691568858895,-0.3158273734369097,-0.33493201941059053
-0.05752072239567369,-0.05634502893706591,-0.053266052486010865,-0.05252173065116121,-0.054988876542468035,-0.05311638595544273,-0.05028447929034381,-0.050857580675636234,-0.04703430789029251,-0.04513006407229293,-0.04270362777336806,-0.032304085510516306,-0.012741213920589835,-0.08081167954597986,-0.17089379318529474,-0.21828160093639948,-0.2446501414370182,-0.26790416442304266,-0.2924691568791042,-0.3158273734367159,-0.33493201940981443
-0.050719903553825385,-0.05171186921637819,-0.05155665773995889,-0.05083728609732465,-0.052150113943825585,-0.05176198010938231,-0.04853434373290023,-0.049281970272116546,-0.044173386133915395,-0.041076703930977614,-0.03316571539085321,-0.029038835649477446,-0.012589401927654427,-0.0781019750285563,-0.16991981159626093,-0.21809649361910846,-0.2430409051129244,-0.2662425614456116,-0.2904309798385984,-0.31119991503090716,-0.3348231214218203
-0.05071990355372119,-0.05068577723049054,-0.04736979684574042,-0.0499853770663029,-0.05016393984728106,-0.051239180726014466,-0.04774999283099992,-0.04906548574777574,-0.04322267477413423,-0.036070820392412946,-0.03304858301878015,-0.02742365696698662,-0.012514406970592765,-0.07810114706582642,-0.16946177527802816,-0.21809649352566512,-0.2430409050793483,-0.2662425614358688,-0.29043097983110555,-0.3111999150305035,-0.3348231214179106
-0.04875839196236172,-0.04892281086233502,-0.04710901049593067,-0.04777356824821652,-0.04901188438050467,-0.04527234750122276,-0.04117192568261005,-0.04273169728221141,-0.042108924711652444,-0.03582498175760813,-0.029476412819775977,-0.0213503552584125,-0.009619609108314026,-0.07761053861094179,-0.16931622690043235,-0.2125401715136323,-0.2375782922632945,-0.26239966020601607,-0.2869934468814447,-0.3110856647258749,-0.31699441367254033
-0.04875839196218961,-0.047320568354711844,-0.045571432905653915,-0.047615370809872305,-0.0429976294560616,-0.04060355553476043,-0.040974284975522586,-0.03527806878176838,-0.034269084294609384,-0.03061393241107476,-0.024511788859158546,-0.019185672466723203,-0.009443750577142845,-0.07715663424537156,-0.1689161515187418,-0.2125401713824225,-0.23757829224693908,-0.26239966019987054,-0.28699344686920725,-0.31108566472352706,-0.31699441366060016
-0.046124685047767594,-0.044682760474232405,-0.03893705283829079,-0.0309627139084167,-0.031942954965454906,-0.03516715697376204,-0.04000660035417286,-0.03527331918817449,-0.034243311777217754,-0.030317214121126115,-0.024479921617019104,-0.01789631455502657,-0.008990080254033155,-0.07504155711937184,-0.1685198927419384,-0.21238489200401883,-0.2373954007685088,-0.2622908353209618,-0.28688479805885986,-0.25377242172217884,-0.29472039129266203
-0.04612468504764262,-0.04147441189417642,-0.029275513523477757,-0.026900156302078138,-0.029679439620259956,-0.03327621663131816,-0.03705379066307897,-0.03222917157203685,-0.0321394362326749,-0.029827824423911943,-0.0238000285670532,-0.017655204208930558,-0.008235706977421525,-0.07504099591590001,-0.16831879613991224,-0.21238489199337082,-0.2373954007358488,-0.2622908353107357,-0.2868847980585038,-0.25377242171977893,-0.29472039128751865
-0.02222304788781007,-0.022045128686362193,-0.022140544155202665,-0.02484264124367425,-0.027620639843125735,-0.02621458782845683,-0.022942394676961617,-0.0225968184903498,-0.02270002749295732,-0.02127473755551229,-0.020497562981240305,-0.016754677391177693,-0.006614718209478315,-0.07481138355390615,-0.1674077920490119,-0.20186614114510745,-0.23673704606290513,-0.21436159709570987,-0.2121068732851461,-0.23886385114164224,-0.1928664662276069
-0.022223047887771723,-0.02187599461225083,-0.021035591065107984,-0.02450253564325888,-0.025440161414203223,-0.023124049744190387,-0.01938390239694422,-0.02254762194433802,-0.02002809729207004,-0.020048277393964628,-0.019924034082286705,-0.01648908790507492,-0.006485647662983096,-0.07459623183243404,-0.16730591400692627,-0.20186614109947273,-0.23673704601765921,-0.21436159704751165,-0.21210687328336522,-0.23886385113477032,-0.19286646622218487
