x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
-0.5087640152215749,-0.5049477777870418,-0.48480388964979143,-0.31950461845008743,-0.0040689580735529815,-0.2967388193237701,-0.4682484954969431,-0.4576820720289089,-0.4467197294671589,-0.43726212183140745,-0.4291723495866585,-0.42099366409682887,-0.41326794231758557,-0.4069114590034307,-0.40085892728334593,-0.3943719411110135,-0.38886360081485594,-0.383263579874252,-0.3773952662153323,-0.3722783084050546,-0.366449515188306
-0.5087640070098558,-0.5049476140157573,-0.48480114555039466,-0.31950402195639593,-0.0040526943945659,-0.29673880753162113,-0.468247051202194,-0.45768093233863094,-0.4467183492901035,-0.4372604017693616,-0.4291618977535906,-0.4209934113646477,-0.41326719544907325,-0.40690176947699236,-0.400858227708891,-0.39437051664743966,-0.38885707217075344,-0.38326039015328733,-0.3773949194594411,-0.3722747081701811,-0.366445497395349
-0.5087591488927786,-0.5049471450913966,-0.484799710132162,-0.3144510259151913,-0.003397796083821846,-0.28981559187350736,-0.46824210610919714,-0.45768066844862565,-0.44671813737382715,-0.43726027453008187,-0.42915955157761476,-0.4209916799636484,-0.4132669397490692,-0.4069010561842951,-0.40085758346544975,-0.39437012648937814,-0.3888568504905744,-0.38325990169044266,-0.3773949071274788,-0.372274652499345,-0.36644518666704823
-0.5087591355500988,-0.5049460049208698,-0.4847967614939084,-0.31445102034732886,-0.003069157293209595,-0.28981555641708917,-0.46824084539931954,-0.45768035474578,-0.4467175236799008,-0.4372583346397394,-0.4291588964528981,-0.4209907261543037,-0.4132658567788037,-0.4068309685348264,-0.4008573353216208,-0.39436990832559937,-0.38885520988691147,-0.383258637312135,-0.37739457397344417,-0.37227269959773057,-0.3664415597696901
-0.5007966308396624,-0.49628456233189117,-0.47318269383789774,-0.29232980737660597,-0.002946744163127455,-0.2649472484849273,-0.423696102997721,-0.41958969764517434,-0.4151233400185653,-0.4105156391908046,-0.40598977725051466,-0.40185358902529866,-0.39770581039943603,-0.3933309886280907,-0.38902760034656036,-0.3847929872327505,-0.3802444595925295,-0.37575162309040655,-0.37117395005783055,-0.36632276771115074,-0.3616119179831318
-0.500796624281815,-0.4962838060298186,-0.4731780814165918,-0.2923294347590078,-0.0021065730502190876,-0.26494724087179655,-0.4236959377656838,-0.4195876175869858,-0.41512215542781405,-0.41051492087205704,-0.40598346759326404,-0.4018528673370215,-0.3977050843851134,-0.3933153198565218,-0.38902734087521035,-0.38479167470726194,-0.380238483348637,-0.37574746547230986,-0.3711737265807637,-0.3663197793361144,-0.3616090644958231
-0.5007554710684843,-0.49628376403115565,-0.4731776098471937,-0.28918886226382073,-0.0015787829355739314,-0.26145834599502465,-0.423694212349409,-0.4195870930031572,-0.4151213368254773,-0.4105148834412043,-0.4059812402267708,-0.4018519808224239,-0.3977049912553642,-0.393314866115237,-0.38902721572447346,-0.3847909221644508,-0.38023845923699956,-0.3757470633458954,-0.37117360071371724,-0.3663193326761381,-0.36160844284578264
-0.5007554535710353,-0.49628291573807465,-0.4731763938267503,-0.28918882527832795,-0.0013431148974479676,-0.2614583202021268,-0.4236928498720739,-0.4195869482429867,-0.4151209950284967,-0.4105144729753695,-0.4059777321863193,-0.4018516454397551,-0.39770361317504177,-0.39328908478836405,-0.3890269305917392,-0.3847905890645367,-0.3802366901356187,-0.37574636073915735,-0.37117325473180157,-0.3663177768814099,-0.36160573342099134
-0.43714456467046237,-0.43599341224001853,-0.4310207712963744,-0.2712118986511628,-0.0013195437774093073,-0.24343707130199357,-0.42261578672981076,-0.4182169517842642,-0.41378007350959917,-0.4095902876387957,-0.40552994377621127,-0.4012122172383986,-0.39698029468244966,-0.3929288778277666,-0.3887000452569851,-0.38430064541277686,-0.38001344667775255,-0.3754830911978855,-0.3708381846035282,-0.36624867954677687,-0.361341685878581
-0.43714455056591744,-0.4359932507817406,-0.43101590428923364,-0.27121170935088285,-0.0012859664578664329,-0.24343705812567562,-0.42261496165629125,-0.4182154542025554,-0.4137795286711257,-0.4095897381951484,-0.4055237694137039,-0.4012114289739841,-0.39697974430601185,-0.39292859893174986,-0.38869964831297027,-0.3842996696525537,-0.38000684572515975,-0.37547897903410626,-0.37083780560850854,-0.3662465815469725,-0.3613374357204715
-0.4371414284637994,-0.4359927787196185,-0.431015103998622,-0.26970746754137653,-0.0011394355171819074,-0.24247748377437167,-0.42261312985412197,-0.41821494806835313,-0.41377850228826957,-0.4095895429195828,-0.4055203370585683,-0.4012096634570941,-0.3969794633458347,-0.3929264731930076,-0.38869904391327376,-0.3842991294895153,-0.38000680019343935,-0.37547885733829434,-0.3708377496646352,-0.36624618400321,-0.3613371238344001
-0.4371414222214497,-0.43599208026098163,-0.43101105025834957,-0.2697074665574422,-0.0010308267714067012,-0.24247747628328126,-0.4226116366257821,-0.4182147021278256,-0.4137784997250926,-0.4095892011578942,-0.40551870145855806,-0.4012094134415625,-0.39697798692481095,-0.39286977067611084,-0.38869882635272573,-0.3842988874198356,-0.38000499434518836,-0.3754781782821006,-0.3708374480788812,-0.3662448976274619,-0.3613322041751937
-0.43476788002994415,-0.43340604197591603,-0.4264712340189869,-0.25773484452438417,-0.0005145901617146987,-3.8167688085707485e-6,-1.2904633691474991e-6,-7.60012762599397e-7,-4.5994438988059214e-7,-5.35400113476855e-6,-1.9683572248464925e-6,-3.5529478436391634e-6,-3.5515722096169905e-6,-8.518533476852489e-7,-4.97409316612247e-6,-2.594341845244297e-6,-3.852018097763249e-6,-9.182933181970409e-7,-1.2140475039333731e-6,-2.267319871259635e-6,-3.82327162960581e-6
-0.4347678755688773,-0.43340553341448973,-0.4264673598925695,-0.2577348035263611,-0.0003366257659257744,-1.0168230017083053e-6,-1.240172435095731e-6,-7.30852284777969e-7,-3.988781439846463e-7,-2.6725973369530405e-6,-1.7960632382715447e-6,-4.774217713058552e-7,-1.2506788717209545e-6,-4.5634240940676245e-7,-1.371091854434469e-6,-3.983098260853416e-7,-2.7419339004726195e-6,-6.918532031824217e-7,-1.0066765554511103e-6,-5.886074302937639e-7,-2.6932936907417615e-6
-0.4347168426674346,-0.4334054515889832,-0.42646670003632225,-0.25734062212241654,-0.0002882700560750838,-5.354261741457769e-7,-3.7637462359572427e-7,-6.717317650700781e-8,-3.870893317725688e-7,-1.597820010407507e-6,-8.054199832202279e-7,-2.0597972249291864e-7,-3.368721615820448e-7,-2.8907003762261613e-7,-4.560776921739098e-7,-2.8603708024855285e-7,-1.0459231968201715e-6,-2.713032769920501e-7,-5.248667227043969e-7,-4.432837733814899e-7,-1.4243623775036228e-6
-0.4347168251199414,-0.4334049691773036,-0.4264666637032202,-0.2573406208091781,-0.00022067960725621744,-3.92576989714475e-7,-3.063262895049739e-7,2.1466388976316932e-8,-2.762950525684474e-7,-7.530974815867131e-8,-5.630908031932686e-7,7.152603458523573e-8,-2.422063544159124e-7,-7.596772688598435e-8,-4.191777766446998e-7,5.5166818862135474e-8,-2.281540263247618e-7,9.129991008779944e-10,-3.220440692834565e-7,-1.6201936129196236e-7,-1.4452112045652359e-7
0.43475256654546723,0.4334055601621195,0.4264655605523521,0.2573405921215794,-0.00017986199031756457,-1.7539536567763823e-7,-2.575532630046411e-7,5.2428305261592e-8,-7.03693018836127e-8,2.063438697073823e-7,-3.036605901225414e-8,8.899564270201982e-7,-2.4054818712419087e-7,4.3061455124581204e-7,-1.264388872550825e-7,7.833394935958688e-8,-1.5809574382290527e-8,2.292883046607257e-9,-2.609956688106891e-7,-6.673310903769416e-8,-3.2260943554279295e-9
0.43475256769379583,0.43340579067255847,0.42646956882708054,0.25734059609661625,-3.436038920259221e-5,3.5379695503614954e-7,-1.5983953003936882e-7,8.946025778717443e-8,8.97983211750314e-8,2.1190908139984955e-7,3.3801965260688393e-7,1.103212413472495e-6,-1.3858387843113114e-7,8.080521135274905e-7,-2.3208084983513413e-8,2.8896911056066797e-7,8.24643190704002e-8,8.119815155612977e-9,-1.271520468554729e-7,-1.6991898754898548e-8,1.779717662128375e-7
0.4348045292713937,0.4334058335491217,0.4264699547200977,0.2577348384938964,8.232259640814377e-5,8.74629674675647e-7,2.8874039668502687e-7,9.559912244978156e-8,2.42712333548065e-7,5.414565790838627e-7,8.10361507640363e-7,1.1547308549382695e-6,4.705251301467425e-9,1.0141495641621977e-6,9.872550007359293e-8,4.1991068270396685e-7,9.699886547721202e-7,9.95223466477614e-8,1.2397061072446758e-7,8.189560650193663e-7,2.7571315841902163e-7
0.43480455354187136,0.43340606224155653,0.4264701153778221,0.2577348748556481,0.00014661355064927778,1.4839742424323886e-6,1.1868229049925994e-5,2.0910717740205719e-7,2.6898657200213646e-7,7.471138703451011e-7,1.8125412040018124e-6,1.2653420359979186e-6,5.271018280784819e-7,2.218814615306986e-6,2.633536334699464e-5,2.1287817504469093e-6,2.965108334126445e-6,6.554979501985549e-7,6.735724063239399e-7,4.797220468731263e-6,7.486154238031239e-7
0.43713962366086273,0.43599213808827125,0.4310118099203275,0.269707376941766,0.0002659439341561097,0.24247747247450574,0.42260809872512695,0.4182146524990057,0.41377723751622175,0.4095897360320026,0.40551035615239733,0.4012094395993244,0.39697834178022057,0.3928927726255209,0.3886997517489092,0.3842978593619151,0.37999961955751616,0.37547541617026986,0.37083655699654916,0.36624282398921854,0.3613350979939812
0.43713964793624854,0.4359923940886896,0.43101664154435904,0.26970737886747936,0.0006664295474869983,0.24247747612916018,0.42261019371837855,0.418215530203393,0.4137784375245691,0.40959000576858495,0.40551622435576806,0.40120972944132194,0.3969796336771959,0.39292844238325036,0.38869996113731037,0.3842987728326818,0.380006582855862,0.37547846277045577,0.3708367912690445,0.3662441376690739,0.36133750834210754
0.43714537108717183,0.4359928668678991,0.4310167868803706,0.27121184502396967,0.0009568720007325698,0.2434370644482011,0.4226111277546476,0.4182164444516035,0.4137789817884337,0.40959061931844154,0.4055183502174689,0.4012116232059233,0.3969801602035635,0.39292894523383687,0.38870075392998926,0.3842992479190144,0.3800074265172891,0.3754786769514253,0.3708369871620401,0.36624487941870953,0.36133770719909974
0.43714537761892647,0.4359932680284573,0.4310221552653864,0.27121204142689026,0.0009920830555966353,0.2434370755571725,0.4226125736572731,0.4182164929125184,0.4137796259591346,0.4095908482047982,0.40552195721703443,0.40121512550933003,0.3969812539962929,0.3929648503613454,0.38870087884303844,0.38429956494383083,0.3800084336372579,0.37547900718179794,0.37083751744993876,0.3662460028970799,0.36134364615543935
0.5007900140919437,0.4962838866681349,0.47317335948060907,0.28918862712273663,0.0010690860936738893,0.2614583100036686,0.42368984608129345,0.4195856845051152,0.4151188149860166,0.4105148839266274,0.40596937312910636,0.4018526721503549,0.3977042153522534,0.3933093245054109,0.38902731557593034,0.38478918023567976,0.38023190694688125,0.3757428504959439,0.37117226495442013,0.36631571116236766,0.361605666875166
0.5007900233983922,0.4962844285415198,0.4731779571177299,0.2891886648381408,0.0014887838683047426,0.261458327958518,0.42369019422032644,0.41958747885937114,0.4151203322620954,0.410515406291559,0.4059760990505596,0.4018532104837502,0.39770488831272743,0.3933142614640088,0.3890276403536031,0.3847903369329705,0.3802381920801932,0.37574668199230693,0.371172876838049,0.36631645211347436,0.36160889204239477
0.5008297718539949,0.4962844502896206,0.4731784436840177,0.29232971765647603,0.0017961807199521399,0.26494723385695834,0.4236918044511042,0.41958810484068343,0.415121340812045,0.41051559136782373,0.40597803187818543,0.4018551027867956,0.39770509456645875,0.3933147457055795,0.38902820885338424,0.3847911630318499,0.3802390031016855,0.3757469097179611,0.3711729711369736,0.3663174913021429,0.36160925756007234
0.5008297773674261,0.49628486311904596,0.473179480593633,0.29233011291907113,0.0023688725972428135,0.2649472529775981,0.42369289776320684,0.4195881706930137,0.4151219605352669,0.4105161637342447,0.4059813423925519,0.40185885897789025,0.3977067061356194,0.3933418510884446,0.389028687756862,0.3847914011315772,0.3802399545021639,0.37574703942024096,0.3711735469348025,0.3663187289090447,0.3616119721085678
0.5087613916630488,0.5049465498147738,0.48479710178207547,0.3144507621777631,0.002752352949238018,0.28981553192437765,0.468239023653383,0.45768000901404027,0.4467159162166261,0.4372591500675599,0.4291478781269768,0.4209917693897011,0.41326560712161,0.4068621130915902,0.4008587794394412,0.3943688169030882,0.3888503267624073,0.38325709050240453,0.3773934130318856,0.37227018143905194,0.36644303874935585
0.5087613982887589,0.5049469949381536,0.48479972453928744,0.3144507734239858,0.0036980367965598754,0.2898155520740066,0.46823988785698556,0.4576806841375393,0.4467176641524454,0.43726061871775473,0.4291586026700902,0.4209935606863007,0.41326717983229677,0.4069011511850388,0.4008590038036316,0.39436993317494706,0.3888568721418786,0.3832595312920993,0.37739398033578353,0.3722723898115773,0.3664453786737124
0.5087680484870926,0.5049472604089451,0.48480165932243197,0.3195044701251007,0.0037033959256270823,0.2967388135128729,0.46824540211775034,0.457681046941,0.44671807648041045,0.4372613320085723,0.42915942277340097,0.4209950643819109,0.4132678016958711,0.4069018835364593,0.4008597192274115,0.39437019764688347,0.38885754760798547,0.38325962123872476,0.37739405331029335,0.3722731339832452,0.36644560442618934
0.5087680538481912,0.5049483388685267,0.4848042749909487,0.3195051126777518,0.004086972350024743,0.29673883523862915,0.46824607156818643,0.4576820058035212,0.44671837004515974,0.43726305738367527,0.4291618969271727,0.42099553730835554,0.41326840212082794,0.40695303614255884,0.40086000512970826,0.39437040897008785,0.38885878476519997,0.38325987817741675,0.37739464856398847,0.3722745748219272,0.3664504947546004
