x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
-0.1480161900657698,-0.15079373904756443,-0.15235064743831084,-0.15203421343741563,-0.1493128897262579,-0.14746294820166417,-0.1472855747429957,-0.14706811519086363,-0.14678439875110047,-0.14643643298440073,-0.14607688070090563,-0.1458129429800797,-0.14567836041259963,-0.14585025242903285,-0.14571673642340716,-0.14664341267651237,-0.14697049173226923,-0.14773845168082506,-0.14462443421081897,-0.13917357710247064,-0.13239111143867963,-0.12252073906302849,-0.10971741278698147,-0.09164084228251833,-0.06035224916899041,-0.030725451859330375,-0.04575076491500312,-0.08828658029931083,-0.13259905022758636,-0.17809637229289196,-0.21161356505899545,-0.23012945412131552,-0.2589929677889312,-0.2717965097775037,-0.2732476292927009,-0.2878603596339924,-0.30142171681864727,-0.31314499928264916,-0.32444794899260254,-0.3346619388477639,-0.3446204957742025
-0.14801619006305547,-0.14957075351367266,-0.15229615809151023,-0.1518651333903592,-0.14878373009464832,-0.14740760458202065,-0.14722893586691763,-0.14702712198417736,-0.14675794840423087,-0.14641307549594199,-0.14604662668446183,-0.14578425115356114,-0.14565364422672764,-0.14575625709923098,-0.14563370191136382,-0.1466393540244804,-0.14696540182447618,-0.1477285715323643,-0.1444239664433258,-0.13891088428217496,-0.13071770182881734,-0.1221202128545761,-0.10959793514749872,-0.09163626940865388,-0.06034417442732944,-0.030154114667330888,-0.04574783039321737,-0.08824315028597675,-0.13243655286880132,-0.1780889032355612,-0.2115233744517106,-0.23005622902558523,-0.25897790799805837,-0.2717945064262736,-0.2731367631313736,-0.28782766874054044,-0.3014124080972303,-0.31314180796705104,-0.32444658864267195,-0.3346613525920814,-0.3446200218695766
-0.1480073814745416,-0.14833262786343623,-0.14802338999736264,-0.14783834410722183,-0.1476235074326864,-0.14728826005163503,-0.14686691890526568,-0.14637929662648394,-0.145930607783674,-0.14564080224131656,-0.1452641930719726,-0.1445684907920617,-0.14434257326302757,-0.14523833750056095,-0.14553232853770995,-0.14623552737813592,-0.14654527500293396,-0.14751357485077835,-0.14409413917857292,-0.137602525246261,-0.13036467419518843,-0.12170227535996428,-0.10908299812016016,-0.0916274091312179,-0.06014389838239737,-0.02585003847754376,-0.043168042475789405,-0.08665553354165165,-0.1312499961730862,-0.17572308084335997,-0.19501358069686894,-0.2271792794206842,-0.2319039826280968,-0.2536388973013414,-0.2715256317340551,-0.2863473033496548,-0.29354109851563687,-0.29869795993789494,-0.3134460889006982,-0.3089184046915665,-0.28389354324742283
-0.14800738147026513,-0.1479724143207099,-0.14796263476993005,-0.14779582012393336,-0.14760783896866478,-0.14720648748522103,-0.14670251214664612,-0.1459708418204486,-0.14488989995348103,-0.14362004840350626,-0.14282912074640688,-0.14299850142454523,-0.14425618907214086,-0.14497953126617186,-0.14547526378334613,-0.14610695615992264,-0.14647179832515825,-0.14749735525365354,-0.1433580563989114,-0.13759443111053637,-0.13015310731238475,-0.12134728002008333,-0.10905727384370763,-0.09160909161919838,-0.06012836083034174,-0.02343573491132162,-0.042731953557743875,-0.08665550984745805,-0.13121283339968992,-0.1756004307657234,-0.19493572732673928,-0.2268370810219717,-0.23073618507517016,-0.25325037381879156,-0.27139295518531775,-0.2863094910300559,-0.29353376996134894,-0.2986969646852934,-0.31344506605750844,-0.3089181935381011,-0.28389351701432547
-0.14442536288131871,-0.14790218374809277,-0.1479009837284539,-0.14777497916675827,-0.14755772590106617,-0.1456299153558232,-0.1429133641361241,-0.14114416852894107,-0.1401397283385052,-0.14005756804060956,-0.14091596242767054,-0.14273872445292604,-0.14403360566845697,-0.14458403094069677,-0.1444544032276669,-0.14561712986556513,-0.1463099811274241,-0.14748978337004603,-0.14335683539234578,-0.13729242246657553,-0.12938970537794484,-0.12123659519563279,-0.10357113260889901,-0.08124806278348103,-0.06009992900593474,-0.022882118510216383,-0.04175713424536548,-0.0852943458651303,-0.1311547867487654,-0.16015757498517091,-0.18267815311637006,-0.2019015824898496,-0.22988467130544926,-0.25310796426834326,-0.26025505837183094,-0.2648622217656232,-0.28146771148379174,-0.2716146199367811,-0.2536192824198865,-0.2650456932551305,-0.2835394066615591
-0.14442536288107177,-0.14789863559779062,-0.14787289848538876,-0.1477304550250363,-0.14755607285898992,-0.14517504319721605,-0.14248887628852452,-0.14083671658862598,-0.14004901503948688,-0.13993589499419157,-0.14083538170801396,-0.14258696920677283,-0.14359698968193615,-0.1430037290576322,-0.14376205438492484,-0.1456137671455715,-0.14624930003293907,-0.1474722903486157,-0.14310684962712156,-0.13726267892124264,-0.12935183723387797,-0.12122309517110523,-0.10157007215937842,-0.08119727425238706,-0.06009937319809555,-0.022266202791077813,-0.0417563104895878,-0.08526900255778766,-0.13099934732180168,-0.1601450119090485,-0.18254485074553553,-0.20052384597671172,-0.2285997671665174,-0.25272276073432776,-0.2602450300791942,-0.2648616997033228,-0.2814668041993424,-0.27161436649116283,-0.2536192781397554,-0.2650456842667476,-0.28353939404652934
-0.1422343488670344,-0.14787944410228082,-0.14239502269219848,-0.13660401666820807,-0.13481574481522168,-0.13375276624145854,-0.13287868173329373,-0.13207153400179514,-0.13132400505247246,-0.1306623056616508,-0.13013135300219744,-0.12979580609958613,-0.12992311981521718,-0.13591123618853249,-0.14350978875241904,-0.1454143116556509,-0.14618263355907937,-0.14594445490873711,-0.1421798606539735,-0.1363306836693431,-0.12430130866932437,-0.11598621438988302,-0.09872500875964578,-0.07720686928987741,-0.05843034600423119,-0.019998583065732385,-0.03765733830660662,-0.08405945812001908,-0.12726997562315234,-0.14497014736216277,-0.16768509828630251,-0.19604416350263468,-0.20876772759580217,-0.22140702312943566,-0.23496802630056723,-0.22520813904999587,-0.2031990558129149,-0.22110192899859463,-0.23256684564065913,-0.21500420035633008,-0.20610685906932805
-0.14223434886678638,-0.14722968053023888,-0.14182796860910443,-0.1363277600157017,-0.13479168211214076,-0.13362335493260352,-0.13183031542077478,-0.13100028598266195,-0.13033499536644977,-0.129812815046763,-0.12940608155716501,-0.12915628355005657,-0.12968000072475147,-0.1351923301667563,-0.14240534209926375,-0.14525557556498822,-0.14582922490399092,-0.14559894708341292,-0.1417229232868673,-0.13443574266376015,-0.12422226353885839,-0.11322067540490148,-0.09869769908462368,-0.07688198052253331,-0.05670309578417199,-0.01858300268876427,-0.037506881636510024,-0.08403595672205397,-0.12717633374620005,-0.1447113135019042,-0.16656934181207134,-0.1949079079322925,-0.20865478396631496,-0.22139958211846872,-0.23496307896565521,-0.225207282641142,-0.20319901697113732,-0.2211018873512641,-0.23256679450248208,-0.2150041861416009,-0.20610685618029861
-0.13597747313182376,-0.13549978259235254,-0.1356466825441281,-0.13544222752147628,-0.1342231394203034,-0.1328319188948322,-0.13181611513178418,-0.12967973125981438,-0.12783641162258016,-0.12719484081991175,-0.1267890778694663,-0.1259537806420101,-0.12441031232717897,-0.12856700740037943,-0.13608996566406162,-0.14288808385592147,-0.144864903434106,-0.14440969499310077,-0.14021863094353715,-0.132550445636711,-0.12146063531796404,-0.11168820013785927,-0.09797868144490107,-0.07310440119825069,-0.05496789127584379,-0.016001767953227927,-0.03664940338768382,-0.08249694195903744,-0.12270803966481052,-0.1291381093596368,-0.15872281796443524,-0.18968039262808997,-0.2047238194915331,-0.18984818383762334,-0.17785853136035423,-0.18641351459725106,-0.20315267743232146,-0.182151639925662,-0.17429240500161233,-0.18772432885296725,-0.19149726471144174
-0.13597747312998695,-0.13547718908245773,-0.13543433261794557,-0.1350660088185999,-0.13408677466888552,-0.13281330366134572,-0.13095893566240632,-0.12913173197442454,-0.1276828942055131,-0.12611790789335542,-0.12500722689239177,-0.12413618676847592,-0.12417972593524443,-0.1274699546215029,-0.13575148575760024,-0.14267970754305198,-0.14202772384797066,-0.14177038896285446,-0.13846200802641911,-0.12961967217327255,-0.12081539274755197,-0.1090595720669885,-0.09069767797764662,-0.07301754821487645,-0.05185489891143035,-0.01582007724201331,-0.036647318024720835,-0.08248893214090351,-0.12270761120402274,-0.12783783478826713,-0.15671133465230885,-0.1896426102492603,-0.20470917509271816,-0.18984577315987966,-0.17785848198938153,-0.1864134909457351,-0.20315256325792427,-0.18215162277026192,-0.1742924049260387,-0.18772432691041097,-0.19149726101821868
