x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
-0.08865301289971281,-0.08834008150092015,-0.08550427008887804,-0.08315666298653618,-0.0825304416119838,-0.08042110747064124,-0.07657305772904828,-0.07741969680780485,-0.08218556172674371,-0.09456025663023047,-0.11111031657198044,-0.11111333744517243,-0.054529212513102165,-0.06061124306769985,-0.14718502084146734,-0.21815361239891792,-0.2445132234834993,-0.2679009709030554,-0.29246730580162733,-0.31579188416766657,-0.3349319038468809
-0.08865301282213162,-0.08833999048101736,-0.08550423813495897,-0.08315659930390955,-0.08253039562876766,-0.08042103077806546,-0.07657305598657482,-0.077419631441714,-0.08218555917981503,-0.09456025537507713,-0.11111008171246986,-0.1093789650934144,-0.054523938345892226,-0.06004311915806094,-0.14506782463764378,-0.21815361147871257,-0.24451322348147775,-0.26790097090231557,-0.29246730579996383,-0.31579188416672144,-0.3349319030076661
-0.08865154621320796,-0.08469576147596031,-0.08463316479411834,-0.08233664613427398,-0.07991297077038219,-0.07892806978178228,-0.07628186779267308,-0.07473215047485231,-0.08095561454507169,-0.08781549392605917,-0.10324121057378742,-0.10869158236772249,-0.05409249592486028,-0.05636609699579033,-0.14419973573480707,-0.21795859196339906,-0.24301940808954853,-0.2659333076459035,-0.289234300239212,-0.3111996315111887,-0.33482168180289434
-0.08865154620175303,-0.08469569033155831,-0.08463289110981792,-0.08233663290692136,-0.07991294483627122,-0.07892800520164175,-0.07628182567887191,-0.07473213868401835,-0.08095560880194054,-0.08781548229915719,-0.10324120638887284,-0.1076627482885513,-0.05366271124351188,-0.056164197235680835,-0.14352909151129473,-0.2179585916709508,-0.243019408089359,-0.2659333076429051,-0.2892343002384295,-0.31119963151089036,-0.33482168130564177
-0.08402253913256108,-0.0843988449473392,-0.0817711775258907,-0.08007477863827839,-0.079364668511972,-0.07687929355440457,-0.07580777343229672,-0.07261088797342316,-0.07620977057902249,-0.08691013742022823,-0.10302300876092732,-0.10764670734054012,-0.053517700989525255,-0.053509788872015344,-0.1427446574451876,-0.21253348537723607,-0.23754659871492242,-0.26239896765640086,-0.28699468865323485,-0.31108169917953604,-0.31737752079325215
-0.08402253907632376,-0.08439878774847029,-0.08177087915262299,-0.08007445274755141,-0.07936431609541589,-0.07687929051874338,-0.07580776348183078,-0.07261087879879348,-0.07620976577189378,-0.08691013608994498,-0.10302299805552274,-0.10721798273902945,-0.05346191691801039,-0.05318347412695143,-0.14166312866902933,-0.2125334853744584,-0.2375465987134487,-0.2623989676512717,-0.28699468865262034,-0.31108169917791645,-0.31737752074970266
-0.08402231497528438,-0.07819234532864407,-0.07711075254884561,-0.07711785749773341,-0.0782914866521954,-0.07521494985468952,-0.07367558598209314,-0.07201777057883821,-0.07592975285275577,-0.08439769143672468,-0.09820167038689925,-0.10472013747974435,-0.05317453960955126,-0.04954470423184775,-0.14128596014675207,-0.21230580018691786,-0.23736919108458024,-0.26228559941594887,-0.2868799170979799,-0.25317227333455755,-0.29366704987049647
-0.08402231493000606,-0.07819182633216136,-0.07710980801194875,-0.07711751250692205,-0.07829144066945545,-0.07521492101335606,-0.07367554737462573,-0.07201777036239274,-0.07592974944061774,-0.08439760915943717,-0.09820166954005816,-0.10448295167378986,-0.05308183683666709,-0.04943012794767161,-0.14062476518678557,-0.21230580017468081,-0.23736919108335602,-0.2622855994119044,-0.2868799170973189,-0.2531722733337903,-0.29366704905503926
-0.07878732155728296,-0.07741869386593195,-0.07248670317222351,-0.07130833810168227,-0.07289607364285304,-0.07449764568527557,-0.07206014357362056,-0.07092783597575592,-0.0737835321142509,-0.08293860845490554,-0.09815936471772754,-0.10445118942241954,-0.05298030825858872,-0.04804780861299942,-0.14002604643753933,-0.20281470212032307,-0.23580142186248987,-0.21437498011560754,-0.21185036482618674,-0.2388039413489661,-0.1932746550237433
-0.07878732143124262,-0.07741859720124829,-0.07248664830727466,-0.07130833778397827,-0.072895703379999,-0.0744973050090592,-0.07206007422338613,-0.07092780136520015,-0.07378352802169572,-0.08293860838439183,-0.0981593622006726,-0.10442958049575188,-0.05295735414036091,-0.04789948397422728,-0.13967106800058238,-0.20281470211273953,-0.23580142186114839,-0.21437498011325729,-0.21185036482511171,-0.23880394134617247,-0.1932746544776654
