E,EZ,Ln,Ls,U,U_dimer,W,Ws,a0,barrier,d,dinter,dinter_warp,dintra,g,scale,t0,t1,t3,Δ,α,λ,μN,μS,τ
0.0,0.0,2000.0,20.0,0.0,0.0,2000.0,20.0,9.84,0.0,0.0,0.33456,5.690969196332027,5.681126648825917,2.0,40.0,65.0,360.0,7.0,1.0,0.0,5.0,1.192,20.0,1.0
0.0,4.0,2000.0,20.0,0.0,0.0,2000.0,20.0,9.84,0.0,0.0,0.33456,5.690969196332027,5.681126648825917,2.0,40.0,65.0,360.0,7.0,1.0,0.0,5.0,1.192,20.0,1.0
0.0,0.0,2000.0,20.0,0.0,0.0,2000.0,20.0,9.84,0.0,0.0,0.33456,5.690969196332027,5.681126648825917,2.0,40.0,65.0,360.0,7.0,1.0,0.0,5.0,1.192,20.0,1.0
